28 sept. 2020 13:40:49
RngSeed: 1601293247328
BirthTreshold: 20
GrassEnergy: 5.0
GrassGrowthRate: 50
GridSize: 20
NumInitGrass: 100
NumInitRabbits: 30

"tick", "Number of grass tile", "Number of rabbits"
1.0, 142.0, 28.0
2.0, 178.0, 28.0
3.0, 210.0, 31.0
4.0, 243.0, 32.0
5.0, 243.0, 32.0
5.0, 273.0, 33.0
6.0, 296.0, 38.0
7.0, 310.0, 47.0
8.0, 313.0, 56.0
9.0, 306.0, 69.0
10.0, 306.0, 69.0
10.0, 285.0, 85.0
11.0, 250.0, 106.0
12.0, 210.0, 126.0
13.0, 184.0, 149.0
14.0, 148.0, 165.0
15.0, 120.0, 184.0
15.0, 120.0, 184.0
16.0, 95.0, 201.0
17.0, 82.0, 217.0
18.0, 62.0, 225.0
19.0, 44.0, 242.0
20.0, 44.0, 242.0
20.0, 37.0, 250.0
21.0, 33.0, 253.0
22.0, 27.0, 253.0
23.0, 24.0, 255.0
24.0, 32.0, 263.0
25.0, 32.0, 263.0
25.0, 33.0, 260.0
26.0, 31.0, 255.0
27.0, 29.0, 253.0
28.0, 38.0, 251.0
29.0, 34.0, 250.0
30.0, 34.0, 250.0
30.0, 32.0, 249.0
31.0, 38.0, 249.0
32.0, 32.0, 247.0
33.0, 27.0, 248.0
34.0, 34.0, 244.0
35.0, 33.0, 246.0
35.0, 33.0, 246.0
36.0, 32.0, 245.0
37.0, 32.0, 248.0
38.0, 34.0, 249.0
39.0, 42.0, 251.0
40.0, 42.0, 251.0
40.0, 30.0, 248.0
41.0, 33.0, 246.0
42.0, 39.0, 242.0
43.0, 47.0, 239.0
44.0, 40.0, 237.0
45.0, 34.0, 237.0
45.0, 34.0, 237.0
46.0, 40.0, 234.0
47.0, 47.0, 235.0
48.0, 33.0, 236.0
49.0, 31.0, 234.0
50.0, 31.0, 234.0
50.0, 38.0, 233.0
51.0, 39.0, 234.0
52.0, 44.0, 233.0
53.0, 50.0, 235.0
54.0, 46.0, 227.0
55.0, 47.0, 229.0
55.0, 47.0, 229.0
56.0, 44.0, 228.0
57.0, 40.0, 228.0
58.0, 42.0, 225.0
59.0, 48.0, 230.0
60.0, 48.0, 230.0
60.0, 48.0, 230.0
