28 sept. 2020 à 11:58:04
RngSeed: 1601287081307
BirthTreshold: 20
GrassEnergy: 5.0
GrassGrowthRate: 50
GridSize: 20
NumInitGrass: 100
NumInitRabbits: 30

"tick", "Number of grass tile", "Number of rabbits"
1.0, 139.0, 27.0
2.0, 175.0, 30.0
3.0, 208.0, 33.0
4.0, 236.0, 37.0
5.0, 236.0, 37.0
5.0, 259.0, 44.0
6.0, 277.0, 53.0
7.0, 276.0, 71.0
8.0, 262.0, 92.0
9.0, 231.0, 125.0
10.0, 231.0, 125.0
10.0, 183.0, 165.0
11.0, 131.0, 204.0
12.0, 98.0, 244.0
13.0, 54.0, 278.0
14.0, 30.0, 306.0
15.0, 17.0, 334.0
15.0, 17.0, 334.0
16.0, 13.0, 351.0
17.0, 3.0, 357.0
18.0, 3.0, 364.0
19.0, 5.0, 365.0
20.0, 5.0, 365.0
20.0, 7.0, 366.0
21.0, 5.0, 370.0
22.0, 5.0, 367.0
23.0, 7.0, 364.0
24.0, 4.0, 363.0
25.0, 4.0, 363.0
25.0, 6.0, 370.0
26.0, 5.0, 365.0
27.0, 4.0, 363.0
28.0, 3.0, 364.0
29.0, 7.0, 366.0
30.0, 7.0, 366.0
30.0, 5.0, 358.0
31.0, 2.0, 355.0
32.0, 6.0, 354.0
33.0, 5.0, 345.0
34.0, 6.0, 349.0
35.0, 7.0, 344.0
35.0, 7.0, 344.0
36.0, 12.0, 337.0
37.0, 11.0, 337.0
38.0, 8.0, 333.0
39.0, 9.0, 329.0
40.0, 9.0, 329.0
40.0, 9.0, 324.0
41.0, 13.0, 319.0
42.0, 14.0, 310.0
43.0, 19.0, 307.0
44.0, 16.0, 304.0
45.0, 19.0, 302.0
45.0, 19.0, 302.0
46.0, 22.0, 294.0
47.0, 22.0, 293.0
48.0, 17.0, 295.0
49.0, 21.0, 292.0
50.0, 21.0, 292.0
50.0, 20.0, 288.0
51.0, 26.0, 293.0
52.0, 25.0, 292.0
53.0, 13.0, 293.0
54.0, 19.0, 297.0
55.0, 14.0, 298.0
55.0, 14.0, 298.0
56.0, 18.0, 303.0
57.0, 20.0, 306.0
58.0, 21.0, 301.0
59.0, 18.0, 302.0
60.0, 20.0, 302.0
60.0, 20.0, 302.0
61.0, 20.0, 304.0
62.0, 18.0, 309.0
63.0, 19.0, 309.0
64.0, 22.0, 307.0
65.0, 23.0, 300.0
65.0, 23.0, 300.0
66.0, 15.0, 296.0
67.0, 17.0, 300.0
68.0, 21.0, 302.0
69.0, 21.0, 302.0
70.0, 21.0, 302.0
70.0, 23.0, 300.0
71.0, 16.0, 301.0
72.0, 17.0, 303.0
73.0, 15.0, 300.0
74.0, 15.0, 301.0
75.0, 13.0, 305.0
75.0, 13.0, 305.0
76.0, 20.0, 303.0
77.0, 15.0, 304.0
78.0, 16.0, 295.0
79.0, 18.0, 296.0
80.0, 18.0, 296.0
80.0, 15.0, 296.0
81.0, 20.0, 301.0
82.0, 17.0, 302.0
83.0, 19.0, 301.0
84.0, 22.0, 301.0
85.0, 22.0, 301.0
85.0, 16.0, 297.0
86.0, 22.0, 301.0
87.0, 18.0, 302.0
88.0, 18.0, 298.0
89.0, 25.0, 304.0
90.0, 14.0, 305.0
90.0, 14.0, 305.0
91.0, 14.0, 306.0
92.0, 18.0, 302.0
93.0, 19.0, 304.0
94.0, 18.0, 305.0
95.0, 17.0, 307.0
95.0, 17.0, 307.0
96.0, 13.0, 312.0
97.0, 13.0, 306.0
98.0, 16.0, 305.0
99.0, 19.0, 306.0
100.0, 19.0, 306.0
100.0, 22.0, 308.0
101.0, 20.0, 312.0
102.0, 22.0, 309.0
103.0, 16.0, 309.0
104.0, 16.0, 308.0
105.0, 16.0, 308.0
105.0, 18.0, 311.0
106.0, 19.0, 311.0
107.0, 24.0, 305.0
108.0, 18.0, 299.0
109.0, 27.0, 297.0
110.0, 26.0, 297.0
110.0, 26.0, 297.0
111.0, 24.0, 290.0
112.0, 21.0, 287.0
113.0, 21.0, 291.0
114.0, 24.0, 286.0
115.0, 24.0, 286.0
115.0, 25.0, 289.0
116.0, 24.0, 290.0
117.0, 22.0, 287.0
118.0, 10.0, 288.0
119.0, 15.0, 291.0
120.0, 23.0, 296.0
120.0, 23.0, 296.0
121.0, 15.0, 302.0
122.0, 20.0, 307.0
123.0, 18.0, 306.0
124.0, 17.0, 302.0
125.0, 20.0, 301.0
125.0, 20.0, 301.0
126.0, 22.0, 299.0
127.0, 19.0, 302.0
128.0, 16.0, 302.0
129.0, 21.0, 302.0
130.0, 21.0, 302.0
130.0, 19.0, 302.0
131.0, 21.0, 302.0
132.0, 20.0, 305.0
133.0, 23.0, 305.0
134.0, 17.0, 298.0
135.0, 17.0, 298.0
135.0, 15.0, 299.0
136.0, 20.0, 298.0
137.0, 23.0, 296.0
138.0, 22.0, 300.0
139.0, 27.0, 298.0
140.0, 27.0, 298.0
140.0, 23.0, 295.0
141.0, 32.0, 284.0
142.0, 30.0, 283.0
143.0, 27.0, 289.0
144.0, 31.0, 292.0
145.0, 31.0, 292.0
145.0, 29.0, 292.0
146.0, 26.0, 296.0
147.0, 20.0, 294.0
148.0, 18.0, 292.0
149.0, 17.0, 294.0
150.0, 19.0, 297.0
150.0, 19.0, 297.0
151.0, 18.0, 299.0
152.0, 20.0, 296.0
153.0, 22.0, 296.0
154.0, 22.0, 297.0
155.0, 25.0, 294.0
155.0, 25.0, 294.0
156.0, 23.0, 298.0
157.0, 23.0, 295.0
158.0, 25.0, 297.0
159.0, 24.0, 301.0
160.0, 25.0, 301.0
160.0, 25.0, 301.0
161.0, 22.0, 305.0
162.0, 12.0, 312.0
163.0, 19.0, 318.0
164.0, 18.0, 320.0
165.0, 18.0, 320.0
165.0, 18.0, 316.0
166.0, 15.0, 312.0
167.0, 16.0, 317.0
168.0, 17.0, 316.0
169.0, 19.0, 318.0
170.0, 17.0, 318.0
170.0, 17.0, 318.0
171.0, 16.0, 317.0
172.0, 13.0, 318.0
173.0, 12.0, 309.0
174.0, 15.0, 310.0
175.0, 15.0, 310.0
175.0, 22.0, 299.0
176.0, 17.0, 296.0
177.0, 20.0, 299.0
178.0, 18.0, 301.0
179.0, 16.0, 300.0
180.0, 16.0, 300.0
180.0, 17.0, 296.0
181.0, 23.0, 299.0
182.0, 22.0, 299.0
183.0, 20.0, 292.0
184.0, 22.0, 295.0
185.0, 26.0, 293.0
185.0, 26.0, 293.0
186.0, 19.0, 298.0
187.0, 22.0, 301.0
188.0, 19.0, 301.0
189.0, 14.0, 299.0
190.0, 14.0, 299.0
190.0, 21.0, 292.0
191.0, 19.0, 293.0
192.0, 17.0, 291.0
193.0, 18.0, 295.0
194.0, 21.0, 290.0
195.0, 25.0, 292.0
195.0, 25.0, 292.0
196.0, 29.0, 297.0
197.0, 20.0, 297.0
198.0, 20.0, 306.0
199.0, 15.0, 310.0
200.0, 14.0, 309.0
200.0, 14.0, 309.0
201.0, 15.0, 315.0
202.0, 12.0, 314.0
203.0, 12.0, 314.0
204.0, 8.0, 312.0
205.0, 15.0, 302.0
205.0, 15.0, 302.0
206.0, 17.0, 300.0
207.0, 18.0, 294.0
208.0, 21.0, 297.0
209.0, 18.0, 295.0
210.0, 18.0, 295.0
210.0, 16.0, 296.0
211.0, 24.0, 307.0
212.0, 17.0, 310.0
213.0, 19.0, 308.0
214.0, 19.0, 303.0
215.0, 10.0, 303.0
215.0, 10.0, 303.0
216.0, 17.0, 304.0
217.0, 19.0, 306.0
218.0, 19.0, 310.0
219.0, 18.0, 303.0
220.0, 16.0, 299.0
220.0, 16.0, 299.0
221.0, 22.0, 299.0
222.0, 24.0, 297.0
223.0, 19.0, 298.0
224.0, 20.0, 296.0
225.0, 20.0, 296.0
225.0, 22.0, 300.0
226.0, 21.0, 298.0
227.0, 17.0, 303.0
228.0, 14.0, 308.0
229.0, 10.0, 314.0
230.0, 10.0, 314.0
230.0, 19.0, 314.0
231.0, 17.0, 309.0
232.0, 15.0, 306.0
233.0, 13.0, 305.0
234.0, 17.0, 304.0
235.0, 17.0, 304.0
235.0, 24.0, 308.0
236.0, 29.0, 308.0
237.0, 29.0, 300.0
238.0, 19.0, 303.0
239.0, 15.0, 299.0
240.0, 17.0, 297.0
240.0, 17.0, 297.0
241.0, 26.0, 296.0
242.0, 23.0, 291.0
243.0, 22.0, 292.0
244.0, 21.0, 295.0
245.0, 16.0, 299.0
245.0, 16.0, 299.0
246.0, 17.0, 299.0
247.0, 24.0, 295.0
248.0, 26.0, 299.0
249.0, 20.0, 297.0
250.0, 20.0, 297.0
250.0, 29.0, 295.0
251.0, 29.0, 292.0
252.0, 21.0, 292.0
253.0, 20.0, 296.0
254.0, 16.0, 296.0
255.0, 16.0, 296.0
255.0, 19.0, 295.0
256.0, 20.0, 290.0
257.0, 21.0, 293.0
258.0, 16.0, 293.0
259.0, 18.0, 293.0
260.0, 18.0, 293.0
260.0, 18.0, 293.0
261.0, 22.0, 287.0
262.0, 26.0, 286.0
263.0, 16.0, 289.0
264.0, 21.0, 287.0
265.0, 21.0, 287.0
265.0, 27.0, 289.0
266.0, 24.0, 294.0
267.0, 21.0, 298.0
268.0, 21.0, 296.0
269.0, 18.0, 292.0
270.0, 18.0, 292.0
270.0, 21.0, 286.0
271.0, 22.0, 280.0
272.0, 27.0, 281.0
273.0, 27.0, 278.0
274.0, 25.0, 278.0
275.0, 26.0, 281.0
275.0, 26.0, 281.0
276.0, 24.0, 284.0
277.0, 23.0, 288.0
278.0, 25.0, 285.0
279.0, 23.0, 292.0
