"tick", "Number of grass tile", "Number of rabbits"
1.0, 120.0, 68.0
2.0, 128.0, 111.0
3.0, 128.0, 111.0
4.0, 118.0, 144.0
5.0, 94.0, 191.0
6.0, 48.0, 244.0
7.0, 14.0, 282.0
8.0, 14.0, 278.0
9.0, 14.0, 278.0
10.0, 14.0, 249.0
11.0, 19.0, 216.0
12.0, 19.0, 216.0
13.0, 30.0, 203.0
14.0, 27.0, 201.0
15.0, 27.0, 201.0
16.0, 33.0, 201.0
17.0, 32.0, 207.0
18.0, 29.0, 211.0
19.0, 29.0, 211.0
20.0, 36.0, 209.0
21.0, 37.0, 205.0
22.0, 32.0, 222.0
23.0, 27.0, 218.0
24.0, 27.0, 218.0
25.0, 30.0, 224.0
26.0, 30.0, 220.0
27.0, 28.0, 225.0
28.0, 29.0, 218.0
29.0, 30.0, 223.0
30.0, 30.0, 223.0
31.0, 23.0, 228.0
32.0, 23.0, 228.0
33.0, 25.0, 219.0
34.0, 38.0, 206.0
35.0, 40.0, 199.0
36.0, 41.0, 209.0
37.0, 41.0, 209.0
38.0, 44.0, 210.0
39.0, 40.0, 217.0
40.0, 40.0, 217.0
41.0, 31.0, 220.0
42.0, 32.0, 221.0
43.0, 32.0, 221.0
44.0, 23.0, 235.0
45.0, 24.0, 224.0
46.0, 24.0, 228.0
47.0, 23.0, 227.0
48.0, 23.0, 227.0
49.0, 36.0, 217.0
50.0, 43.0, 209.0
51.0, 33.0, 207.0
52.0, 24.0, 219.0
53.0, 22.0, 238.0
54.0, 31.0, 231.0
55.0, 31.0, 231.0
56.0, 35.0, 216.0
57.0, 26.0, 227.0
58.0, 33.0, 214.0
59.0, 33.0, 214.0
60.0, 37.0, 219.0
61.0, 37.0, 219.0
62.0, 44.0, 198.0
63.0, 44.0, 198.0
64.0, 41.0, 193.0
65.0, 39.0, 214.0
66.0, 39.0, 214.0
67.0, 30.0, 216.0
68.0, 34.0, 232.0
69.0, 34.0, 232.0
70.0, 24.0, 235.0
71.0, 18.0, 241.0
72.0, 19.0, 232.0
73.0, 33.0, 212.0
74.0, 32.0, 214.0
